Order ID,Date,Customer Segment,Region,City,Category,Sub-Category,Product Name,Units Sold,Unit Price,Revenue,Cost,Profit,Shipping Cost,Discount,Delivery Status
ORD-1790,28-06-2024,Consumer,East,City_24,Furniture,Chairs,Chairs - 855,2,117.83,235.66,149.88,85.78,23.11,0.2,On Time
ORD-2457,28-06-2024,Corporate,South,City_19,Office Supplies,Paper,Paper - 818,9,347.37,3126.33,1644.12,1482.21,7.32,0,On Time
ORD-1270,27-06-2024,Corporate,West,City_29,Furniture,Bookcases,Bookcases - 827,11,421.11,4632.21,2334.64,2297.57,29.26,0.1,On Time
ORD-1888,27-06-2024,Corporate,West,City_25,Office Supplies,Binders,Binders - 561,5,213.22,1066.1,880.2,185.9,10,0.1,On Time
ORD-2201,27-06-2024,Small Business,East,City_26,Office Supplies,Storage,Storage - 732,11,274.36,3017.96,2238.83,779.13,26.35,0,On Time
ORD-1857,26-06-2024,Corporate,East,City_45,Furniture,Chairs,Chairs - 608,4,248.64,994.56,780.36,214.2,28.14,0.3,Late
ORD-2105,26-06-2024,Corporate,West,City_38,Technology,Copiers,Copiers - 540,19,432.35,8214.65,5521.02,2693.63,5.12,0,On Time
ORD-1391,25-06-2024,Small Business,East,City_26,Office Supplies,Paper,Paper - 698,4,393.9,1575.6,940.6,635,8.11,0.2,On Time
ORD-1697,25-06-2024,Small Business,South,City_15,Technology,Phones,Phones - 910,6,362.31,2173.86,1520.28,653.58,8.54,0.1,On Time
ORD-2340,25-06-2024,Consumer,East,City_48,Technology,Phones,Phones - 926,7,201.27,1408.89,1153.04,255.85,9.73,0,On Time
ORD-1102,24-06-2024,Consumer,South,City_8,Office Supplies,Paper,Paper - 137,9,171.24,1541.16,1273.05,268.11,12.03,0.1,On Time
ORD-1796,24-06-2024,Small Business,Central,City_32,Furniture,Tables,Tables - 861,3,100.61,301.83,162.9,138.93,29.12,0,On Time
ORD-2017,24-06-2024,Small Business,Central,City_9,Technology,Copiers,Copiers - 232,5,269.26,1346.3,1086,260.3,11.99,0,On Time
